"tls","tms","trs","mls","mms","mrs","bls","bms","brs","class"
"b","o",NA,"o",NA,"x","x",NA,NA,"positive"
"x","o",NA,NA,"x","o","b",NA,"x","positive"
"x","o",NA,"x","x","o","x","o","x","positive"
"o","b",NA,"b",NA,"o","x",NA,"x","positive"
"b","o",NA,"x","o","x","o","x",NA,"negative"
"x","x",NA,NA,NA,"o","x",NA,"o","negative"
"o","b","x",NA,"x","x","o","o","x","positive"
"x","b","b",NA,NA,"b","b",NA,NA,"positive"
"b","o","x","b",NA,"x","o",NA,"x","positive"
"x","o","b",NA,"b","b","x",NA,NA,"positive"
"x","o","o",NA,NA,"o","x",NA,NA,"positive"
"x","x",NA,NA,"b","o","b","x","o","negative"
"b","o","x",NA,NA,"o","x","b",NA,"positive"
"x","b","x","o",NA,"o","b","o",NA,"positive"
"b","o",NA,"b","o","x","x",NA,NA,"negative"
"o","o","x",NA,NA,"o","x",NA,"x","positive"
"o","b",NA,NA,NA,"o","x",NA,"o","negative"
"x","o","o","o",NA,"b","x","b","x","positive"
"x","o",NA,NA,"o","b","b",NA,"x","negative"
"x","x","x","o",NA,"b","b","o",NA,"positive"
"o","o","x","b","o","x","x","x",NA,"negative"
"o","x","o",NA,NA,"x","o","x",NA,"negative"
"b","x","x",NA,"o","o","b",NA,"b","negative"
"x","o",NA,"o",NA,"x","o",NA,"x","positive"
"o","b","o",NA,NA,"x","b","b",NA,"positive"
"b","b","b","o","o","b","x","x","x","positive"
"o","o","b","o","x","b","x","x","x","positive"
"o","x",NA,NA,NA,"o","b","x",NA,"positive"
"o","x",NA,"x",NA,"o","x",NA,NA,"negative"
"b","x",NA,"o","x","o","o",NA,"x","positive"
"o","x","b",NA,"x","o","x",NA,"b","positive"
"x","x","o","b","o","x","o","o","x","negative"
"x","o","b","x","b","o","x","x","o","positive"
"b","o","b","x","o","o","x","x",NA,"positive"
"b","x","o","o","x","b","b","x","b","positive"
"o","o",NA,"o","x","x","o",NA,NA,"negative"
"o","b","x",NA,NA,"x","b",NA,NA,"positive"
"b","b","o",NA,NA,"x","o",NA,"x","negative"
"o","b","o",NA,NA,"x","o","x","x","negative"
"x","o","x",NA,"x","b","o",NA,"o","negative"
"x","b","b","b","x","b","o","o",NA,"positive"
"x","x",NA,NA,"x","o","x","b","o","negative"
"x","b",NA,"x","o","x","o","o","o","negative"
"x","b",NA,"x",NA,"b","x",NA,NA,"positive"
"x","x","o","x","o","o","o","b",NA,"negative"
"o","x","x",NA,"o","x","x","o",NA,"positive"
"x","x","x",NA,"b","o","b","o",NA,"positive"
"o","b",NA,NA,"x","b","x",NA,"o","positive"
"x","o","o","x","o","x","x","b",NA,"positive"
"o","x","o",NA,"x","b","o","x","x","positive"
"x","o",NA,NA,NA,"x","o",NA,NA,"positive"
"b","x","o","b",NA,"x","o",NA,NA,"negative"
"o","o",NA,NA,"o","x","x",NA,"x","positive"
"x","x",NA,NA,"b","x","o","b",NA,"positive"
"b","o","x",NA,NA,"b","x","o","o","positive"
"o","x","b",NA,NA,"x","x",NA,NA,"negative"
"x","x","b",NA,NA,"o","o",NA,NA,"positive"
"x","o",NA,"b",NA,"o","x",NA,NA,"positive"
"x","o",NA,NA,"x","o","x",NA,"x","positive"
"b","b","x",NA,NA,"x","b","o","x","positive"
"o","b",NA,"b",NA,"o","x","b",NA,"positive"
"x","x","x","o",NA,"b","x","o","b","positive"
"o","o",NA,"o",NA,"x","x","x",NA,"positive"
"x","b",NA,NA,NA,"o","x","x",NA,"positive"
"o","o",NA,"x",NA,"x","x","o",NA,"positive"
"x","o",NA,NA,"o","x","x","o",NA,"negative"
"b","x","o",NA,"x","x","o","x","b","positive"
"o","x",NA,NA,NA,"x","o",NA,"x","negative"
"x","x",NA,"o",NA,"o","x",NA,"o","negative"
