"landmass","zone","area","population","language","bar","stripes","color","red","grean","blue","gold","white","black","orange","mainhue","circle","cross","saltire","quarter","sunstars","crescents","triangle","icon","animate","text","topleft","topright","religions"
6,2,NA,NA,1,0,0,7,1,NA,1,1,1,NA,1,"blue",0,2,1,NA,0,NA,0,NA,1,0,"white","blue",1
4,4,10,NA,1,0,5,NA,1,1,1,NA,1,NA,0,"red",0,0,0,NA,0,0,0,NA,0,NA,"red","green",5
4,1,NA,0,3,0,0,4,1,NA,1,0,1,0,NA,"blue",0,0,0,0,1,0,1,0,0,NA,"white","green",2
1,NA,0,0,1,0,0,NA,1,1,0,NA,1,1,NA,"green",0,0,0,0,2,NA,1,0,0,NA,"green","red",1
3,1,NA,NA,NA,0,2,2,1,0,0,NA,1,NA,0,"red",0,0,0,NA,0,0,0,0,0,0,"red","white",0
2,NA,NA,NA,6,0,5,NA,1,NA,0,1,1,0,NA,"red",0,0,0,NA,1,NA,0,0,0,NA,"green","green",1
1,NA,NA,NA,2,3,0,NA,1,1,0,NA,1,NA,NA,"green",0,0,0,NA,0,0,0,NA,1,NA,"green","red",0
6,NA,300,NA,NA,0,0,4,1,0,1,NA,1,NA,0,"blue",0,0,0,0,4,0,1,0,0,0,"blue","red",0
3,NA,NA,NA,5,0,0,3,1,NA,NA,0,1,NA,NA,"white",0,0,0,0,0,0,1,NA,0,NA,"white","red",6
2,NA,NA,14,NA,3,0,2,1,0,NA,NA,1,0,0,"red",0,0,0,NA,0,0,0,NA,0,0,"red","red",0
3,1,NA,10,6,0,9,NA,0,NA,NA,NA,1,0,0,"blue",0,1,0,1,0,0,0,0,0,NA,"blue","blue",1
6,1,0,0,10,0,0,NA,0,0,1,NA,1,NA,NA,"blue",0,0,0,NA,1,0,0,1,0,0,"blue","blue",1
5,NA,99,39,NA,0,0,NA,1,NA,1,NA,1,NA,0,"white",1,0,0,0,0,NA,0,NA,0,NA,"white","white",7
1,4,0,NA,1,0,1,NA,0,0,1,0,1,NA,NA,"white",0,0,0,0,0,0,0,NA,1,0,"white","blue",1
5,1,6,NA,10,0,0,NA,1,NA,NA,1,1,1,0,"gold",0,0,0,NA,0,NA,1,NA,1,NA,"white","gold",2
5,1,NA,NA,NA,0,0,NA,1,NA,NA,NA,0,NA,0,"red",0,0,0,0,5,NA,0,0,0,0,"red","red",6
2,3,NA,NA,2,0,3,3,0,NA,NA,NA,1,NA,NA,"blue",0,0,0,NA,1,NA,0,0,0,0,"blue","blue",0
6,2,NA,0,10,0,0,NA,1,NA,0,NA,1,0,0,"red",0,1,0,1,0,NA,0,NA,0,0,"white","red",1
